split,name,pred_foreground_ratio,pred_component_count,pred_profile_count,pred_profile_total_length,pred_cd_mean,pred_cd_std,pred_lwr_3sigma,pred_ler_low_3sigma,pred_ler_high_3sigma,pred_ler_mean_3sigma,pred_edge_psd_hf_ratio_1d,pred_necking_score,pred_bulging_score,disagreement,fg_dev,cc_dev,label
in_dist,00000657,0.61999512,8.0,8.0,4096.0,39.679688,0.90086218,2.7025865,2.2248571,2.1659274,2.1953922,0.034670018,0.076506839,0.066976834,0.00736912797254996,0.0004234300000000024,0.0,False
in_dist,00000659,0.40765762,6.0,6.0,3072.0,34.786784,0.81129662,2.4338899,1.8579121,1.7869367,1.8224244,0.031232487,0.18056162,0.11741598,0.006003577647014757,0.0003433199999999803,0.0,False
in_dist,00000665,0.47720718,6.0,6.0,3072.0,40.72168,0.84661921,2.5398576,1.8766931,1.8889103,1.8828017,0.046439332,0.074774115,0.078550698,0.005642399457172154,0.00011824999999998642,0.0,False
in_dist,00000666,0.32711411,4.0,4.0,2048.0,41.870605,0.96427026,2.8928108,2.0387459,2.2670135,2.1528797,0.049555121,0.068178636,0.081385525,0.009937263175547106,0.00032423999999997566,0.0,False
in_dist,00000674,0.50296402,12.0,12.0,2655.0,49.66064,6.428247,19.284741,7.772921,8.0211155,7.8970182,0.023177211,0.93037037,0.23546798,0.006378696615220836,0.0005226099999999789,0.0,True
in_dist,00000676,0.58834076,15.0,15.0,5749.0,26.898939,1.9157776,5.7473328,3.0904996,3.1469672,3.1187334,0.041561313,0.97413652,0.79185649,0.01773685045468998,0.0006637600000000132,0.0,False
in_dist,00000679,0.32793045,4.0,4.0,2048.0,41.975098,0.97917049,2.9375115,2.0551831,2.1150998,2.0851414,0.043047745,0.076880403,0.08880773,0.0079765103374142,3.814999999995905e-05,0.0,False
in_dist,00000687,0.23187637,8.0,8.0,1858.0,32.715285,3.2737667,9.8213002,4.4014916,4.516981,4.4592363,0.019577914,0.88135869,0.30488815,0.008726819026664945,0.0005187999999999859,0.0,False
in_dist,00000690,0.302845,12.0,12.0,2097.0,37.858846,4.0575981,12.172794,5.4659358,6.7069878,6.0864618,0.028110554,0.97598253,0.29342723,0.015305166341670451,0.0020790099999999923,0.0,False
in_dist,00000693,0.479702,6.0,6.0,3072.0,40.93457,0.95539702,2.8661911,2.114471,1.8872575,2.0008642,0.035581432,0.17591365,0.069191146,0.005219825541652123,0.0003204400000000329,0.0,False
in_dist,00000694,0.31491089,5.0,5.0,2560.0,32.246875,0.82112623,2.4633787,1.585151,1.6435346,1.6143428,0.03651944,0.1991658,0.15676051,0.007535455947648706,0.00019455000000001554,0.0,False
in_dist,00000695,0.32568359,4.0,4.0,2048.0,41.6875,1.0354131,3.1062394,2.1002164,2.039293,2.0697547,0.042911113,0.092537313,0.085103377,0.0063932813548044365,0.0001678499999999694,0.0,False
in_dist,00000708,0.28465271,8.0,8.0,1789.0,41.710453,4.5144676,13.543403,6.6514665,7.1135226,6.8824945,0.027895255,0.97612667,0.19337555,0.008688500129703569,0.0007247899999999752,0.0,False
in_dist,00000709,0.32807159,4.0,4.0,2048.0,41.993164,1.0044381,3.0133144,1.9678964,2.0502463,2.0090713,0.044897858,0.071169411,0.072975364,0.006983704142164093,0.0003395000000000481,0.0,False
