split,model,name,disagreement,abs_err_cd_mean,pred_fg_dev,pred_cc_dev
standard,deeplabv3plus,00000596,0.007315582194396764,0.10078125,0.0005455000000000321,0.0
standard,hrnet,00000596,0.005332734380694926,0.05859375,0.00013351000000000335,0.0
standard,segformer,00000596,0.005725466479546415,0.031640625,0.0002632099999999582,0.0
standard,unet,00000599,0.00586042217767091,0.012369792,0.0002822800000000236,0.0
standard,deeplabv3plus,00000599,0.007828697538856288,0.072265625,0.000701900000000033,0.0
standard,hrnet,00000599,0.005968757738240793,0.036458333,0.0002822800000000236,0.0
standard,segformer,00000599,0.006358443743468611,0.020182292,0.0006637500000000185,0.0
standard,unet,00000602,0.00656633324429079,0.030132426,5.7220000000024474e-05,0.0
standard,deeplabv3plus,00000602,0.008953005173240491,0.047351018,0.0006790199999999746,0.0
standard,hrnet,00000602,0.006434407567369349,0.00054171181,5.7220000000024474e-05,0.0
standard,segformer,00000602,0.007172831144439229,0.026614856,0.0003318800000000066,0.0
standard,unet,00000609,0.006402549647823719,0.00390625,6.86699999999929e-05,0.0
standard,deeplabv3plus,00000609,0.008177550441391013,0.063671875,0.0006599499999999647,0.0
standard,hrnet,00000609,0.006359540647741357,0.003125,6.86699999999929e-05,0.0
standard,segformer,00000609,0.006758229323211018,0.009375,0.00012207000000002965,0.0
standard,unet,00000617,0.0069077120857304886,0.055737705,0.000495919999999983,0.0
standard,deeplabv3plus,00000617,0.00892192057237684,0.02149228,0.0008506799999999926,0.0
standard,hrnet,00000617,0.0068962680303029655,0.016638101,0.000495919999999983,0.0
standard,segformer,00000617,0.007588472681070324,0.10929903,0.000862129999999961,0.0
standard,unet,00000619,0.005749730575055012,0.047363281,0.00025177000000009553,0.0
standard,deeplabv3plus,00000619,0.00728003079378059,0.025878906,0.0003356899999999996,0.0
standard,hrnet,00000619,0.005697793487332903,0.03125,0.00025177000000009553,0.0
standard,segformer,00000619,0.005995352625633221,0.064941406,0.0005111700000000052,0.0
standard,unet,00000659,0.005668679962827716,0.020182292,3.815000000001456e-05,0.0
standard,deeplabv3plus,00000659,0.007748943978290068,0.020833333,0.0005187999999999859,0.0
standard,hrnet,00000659,0.005761397946060232,0.0234375,3.815000000001456e-05,0.0
standard,segformer,00000659,0.005947342809781042,0.054361979,0.0004005499999999995,0.0
standard,unet,00000662,0.006739743477059412,0.040527344,0.00045013000000004855,0.0
standard,deeplabv3plus,00000662,0.008757924384770632,0.039550781,0.001064300000000018,0.0
standard,hrnet,00000662,0.006874041135768061,0.01171875,0.0002632100000000692,0.0
standard,segformer,00000662,0.007139936197747443,0.028564453,0.0002632100000000692,0.0
standard,unet,00000691,0.007258821235784474,0.050537109,0.00028609999999995583,0.0
standard,deeplabv3plus,00000691,0.009098171092254415,0.034423828,1.525000000002219e-05,0.0
standard,hrnet,00000691,0.007087089876889774,0.0043945312,0.00046920000000005846,0.0
standard,segformer,00000691,0.007483697515018206,0.034423828,1.525000000002219e-05,0.0
standard,unet,00000696,0.006013202859520561,0.042317708,0.0003891000000000311,0.0
standard,deeplabv3plus,00000696,0.00797661082841572,0.065755208,0.0010833800000000227,0.0
standard,hrnet,00000696,0.006046646706402314,0.0091145833,0.00020600000000003948,0.0
standard,segformer,00000696,0.007017280343198706,0.026692708,0.00020600000000003948,0.0
standard,unet,00000702,0.006702299175557536,0.075262211,0.0002479599999999915,0.0
standard,deeplabv3plus,00000702,0.008793258828692418,0.040195442,0.0011482299999999723,0.0
standard,hrnet,00000702,0.0064244293875979075,0.049436157,0.0002479599999999915,0.0
standard,segformer,00000702,0.007007157068980363,0.076428261,0.0005645799999999812,0.0
standard,unet,00000750,0.05092995672405154,3.6097984,0.01581191999999998,1.0
standard,deeplabv3plus,00000750,0.024450650528429207,0.045557169,0.0015144400000000058,0.0
standard,hrnet,00000750,0.02175267659575375,0.07768118,0.00019837000000000327,0.0
standard,segformer,00000750,0.02201403407633684,0.12124309,0.00019837000000000327,0.0
standard,unet,00000788,0.007425185346982666,0.014834898,3.433000000002684e-05,0.0
standard,deeplabv3plus,00000788,0.010223159089475353,0.012933615,0.000617980000000018,0.0
standard,hrnet,00000788,0.007702320395702067,0.037864102,4.9590000000043766e-05,0.0
standard,segformer,00000788,0.007943314711207905,0.035712408,3.433000000002684e-05,0.0
standard,unet,00000791,0.007852182394335383,0.018681651,0.00019835999999995302,0.0
standard,deeplabv3plus,00000791,0.010637441364783728,0.10687205,0.002243039999999974,0.0
standard,hrnet,00000791,0.007857205257822186,0.025038678,0.00019835999999995302,0.0
standard,segformer,00000791,0.008487990589403416,0.04376527,0.0004005400000000048,0.0
standard,unet,00000794,0.006161339978086322,0.015646869,4.196000000000755e-05,0.0
standard,deeplabv3plus,00000794,0.008517445819381186,0.056940226,0.0004997200000000368,0.0
standard,hrnet,00000794,0.006139153555562493,0.0023699663,4.196000000000755e-05,0.0
standard,segformer,00000794,0.006767212753866048,0.050836036,0.00044632000000000005,0.0
standard,unet,00000799,0.00818831698982947,0.12229547,0.0002365100000000231,0.0
standard,deeplabv3plus,00000799,0.010324678325167702,0.036090992,0.0009803700000000082,0.0
standard,hrnet,00000799,0.007989841626401595,0.081808128,0.0002365100000000231,0.0
standard,segformer,00000799,0.008442147692201307,0.15482513,0.0005836500000000466,0.0
standard,unet,00000808,0.008270519195217929,0.047474275,0.00037002000000008195,0.0
standard,deeplabv3plus,00000808,0.01150057821704964,0.030932983,0.00011062000000006122,0.0
standard,hrnet,00000808,0.008247357924042853,0.034341355,0.00046157999999996147,0.0
standard,segformer,00000808,0.00882687067976562,0.046760209,0.00011062000000006122,0.0
standard,unet,00000814,0.0060984980961024116,0.0054253472,0.0004692099999999977,0.0
standard,deeplabv3plus,00000814,0.007805765939341014,0.061631944,0.000904090000000024,0.0
standard,hrnet,00000814,0.005941343785453745,0.021267361,0.00019455000000001554,0.0
standard,segformer,00000814,0.006574864506474043,0.010199653,0.00019455000000001554,0.0
standard,unet,00000816,0.005752156346836235,0.051025391,0.0003166199999999897,0.0
standard,deeplabv3plus,00000816,0.0075601616280671635,0.049560547,0.0014572200000000368,0.0
standard,hrnet,00000816,0.005586692894158585,0.030761719,0.00020218000000005176,0.0
standard,segformer,00000816,0.006049412786603425,0.044677734,0.00020218000000005176,0.0
standard,unet,00000817,0.0062592267618942765,0.051171875,0.00043488000000002636,0.0
standard,deeplabv3plus,00000817,0.007560205492335492,0.041796875,0.0011520400000000208,0.0
standard,hrnet,00000817,0.005852229075938964,0.03203125,0.00043488000000002636,0.0
standard,segformer,00000817,0.006279356701436978,0.080859375,0.0004768400000000339,0.0
extreme,unet,0,0.01707591127442376,0.07365167,0.0012359599999999804,0.0
extreme,deeplabv3plus,0,0.015104408302599182,0.19070484,0.0008354199999999756,0.0
extreme,hrnet,0,0.013580128072568698,0.045208794,0.0008354199999999756,0.0
extreme,segformer,0,0.013993618991306245,0.12478647,0.0010566699999999818,0.0
extreme,unet,1,0.04472904332547689,0.16137096,0.006294250000000001,0.0
extreme,deeplabv3plus,1,0.030786599711930318,0.75839699,0.0015563900000000186,0.0
extreme,hrnet,1,0.02870701712768131,0.30762406,0.0015563900000000186,0.0
extreme,segformer,1,0.04496652041190963,4.2819641,0.008377070000000014,0.0
extreme,unet,10,0.24724875823451564,0.01171875,0.00010680999999999885,0.0
extreme,deeplabv3plus,10,0.24871034862024033,0.34960938,0.000568390000000002,0.0
extreme,hrnet,10,0.2470950248194358,0.06640625,0.00010680999999999885,0.0
extreme,segformer,10,0.7306371462923942,39.659691,0.31077575,2.0
extreme,unet,11,0.007768106910771899,0.15014648,0.001148219999999922,0.0
extreme,deeplabv3plus,11,0.011139477772650341,0.24926758,0.005664829999999954,0.0
extreme,hrnet,11,0.007460530042752933,0.076660156,0.0005721999999999117,0.0
extreme,segformer,11,0.007661380688835373,0.11328125,0.0005721999999999117,0.0
extreme,unet,12,0.010161516464229359,0.63978795,0.002906799999999987,0.0
extreme,deeplabv3plus,12,0.012369152276159867,0.59430804,0.0022849999999999815,0.0
