fold,model,name,iou,abs_err_cd_mean,abs_err_lwr_3sigma,abs_err_ler_mean_3sigma
0,hrnet,614,0.9870068911089128,0.19271643,0.22147957,0.080077469
0,hrnet,625,0.989542508113452,0.002734375,0.18632145,0.17142264
0,hrnet,626,0.9892465494410696,0.027832031,0.21252805,0.14929002
0,hrnet,630,0.9893537625988065,0.041402959,0.3736306,0.21923491
0,hrnet,633,0.9881961530406229,0.033536255,0.27486541,0.21639486
0,hrnet,634,0.9901523996789311,0.020833333,0.24884037,0.15023206
0,hrnet,637,0.9878605591430523,0.18691788,0.5624319,0.23767662
0,hrnet,640,0.9897333429727363,0.041748047,0.24017818,0.17319433
0,hrnet,646,0.9899766872170337,0.0063476562,0.23985986,0.13127336
0,hrnet,649,0.9888824674519575,0.045572917,0.34986044,0.23235361
0,hrnet,651,0.9902513514332894,0.013183594,0.26008166,0.16395028
0,hrnet,656,0.9893439927648183,0.05234375,0.22896742,0.17303481
0,hrnet,657,0.9896316540937259,0.032470703,0.23353902,0.17896332
0,hrnet,659,0.9898044692728214,0.032877604,0.24740546,0.13207339
0,hrnet,665,0.9897368169804047,0.028971354,0.22743128,0.16358691
0,hrnet,666,0.9892289855060994,0.046875,0.28610913,0.15328154
0,hrnet,674,0.9909240674679652,0.022025371,0.9380666,0.40135285
0,hrnet,676,0.9822278661946688,0.47282272,0.74763894,0.21702831
0,hrnet,679,0.9889508515353238,0.041503906,0.25171888,0.16000629
0,hrnet,687,0.9884037081911284,0.079708918,0.43442567,0.22074399
0,hrnet,690,0.9817463304466418,0.24180524,0.92315872,0.44289464
0,hrnet,693,0.9903025016841849,0.17773438,0.1628888,0.10785889
0,hrnet,694,0.9894782462126629,0.00859375,0.18851926,0.14142145
0,hrnet,695,0.9902092196503407,0.041015625,0.19414871,0.13075354
0,hrnet,708,0.9879776900072215,0.078429493,0.24078736,0.107637
0,hrnet,709,0.9893116865058719,0.030761719,0.23426946,0.17419556
0,hrnet,717,0.9859428437132501,0.28979492,0.34594857,0.21174272
0,hrnet,720,0.9896804197004154,0.028125,0.18959183,0.11029015
0,hrnet,723,0.9868156772922754,0.089804989,0.2071509,0.12980517
0,hrnet,728,0.9904380181946548,0.020507812,0.16075699,0.12223954
0,hrnet,731,0.9898101469475905,0.015625,0.19928593,0.14001187
0,hrnet,735,0.989578274998142,0.00625,0.25562336,0.19266908
0,hrnet,741,0.9894632413008588,0.033447266,0.25972532,0.15188694
0,hrnet,742,0.9892029215612373,0.021671376,0.32560439,0.16449245
0,hrnet,746,0.98955080715832,0.03203125,0.12058314,0.13059618
0,hrnet,754,0.9896447362285332,0.099609375,0.23351575,0.16641541
0,hrnet,763,0.9880143753390135,0.016765488,0.17252613,0.087179089
0,hrnet,764,0.9889595569909417,0.056640625,0.21072912,0.13076355
0,hrnet,769,0.9692429577459101,0.45798029,0.022340269,0.014069035
0,hrnet,770,0.990146388983314,0.0085449219,0.12829805,0.1071939
0,hrnet,776,0.9874912719894859,0.030960595,0.41807415,0.18869906
0,hrnet,777,0.9895302717402632,0.054931641,0.22472316,0.13262746
0,hrnet,783,0.9890009338820392,0.036699195,0.40634793,0.25497324
0,hrnet,785,0.9897224374436221,0.01953125,0.31090051,0.18046683
0,hrnet,787,0.9895014280164756,0.01042041,0.087051171,0.052950055
0,hrnet,819,0.9892612288146185,0.11171875,0.16275318,0.10364029
0,hrnet,823,0.7716230601149803,,,
0,segformer,6,0.963662454287864,4.6950461,0.19831049,0.17514795
0,segformer,16,0.9870385393075595,0.051513672,0.21236639,0.17301394
0,segformer,18,0.9880185083730719,0.005859375,0.37933703,0.26662532
0,segformer,19,0.9848945607132523,0.42462148,0.27638455,0.16816143
0,segformer,25,0.9910128203845212,0.17062433,0.068522681,0.10291584
0,segformer,26,0.987819803506532,0.086201022,0.30462624,0.065409878
0,segformer,66,0.9857085934373945,0.0453125,0.17854384,0.13137962
0,segformer,73,0.9861442781233708,0.020182292,0.25461445,0.16361599
0,segformer,84,0.987549741931645,0.062928548,0.28443283,0.18699069
0,segformer,85,0.6893014947817154,34.238156,52.718037,13.970074
0,segformer,94,0.9852885728023967,0.040348725,0.13749643,0.085917328
0,segformer,97,0.4727859497068509,,,
0,segformer,99,0.9879785299191353,0.0039600081,0.45377014,0.29963634
0,segformer,103,0.9887923839010797,0.016601562,0.3678328,0.24448735
0,segformer,107,0.9877685486973065,0.0234375,0.34814359,0.24161187
0,segformer,111,0.9881322829927316,0.006640625,0.35671892,0.2654189
0,segformer,117,0.9876654176200587,0.0080566406,0.27454953,0.24133057
0,segformer,118,0.9885439180158645,0.0061035156,0.27797225,0.15478877
0,segformer,127,0.9714363617550265,0.72773438,0.40726375,0.28289765
0,segformer,129,0.9865491257229092,0.0056152344,0.15365629,0.05433855
0,segformer,130,0.9873274279778251,0.055338542,0.25692692,0.17000344
0,segformer,141,0.987606365544854,0.0043945312,0.33097347,0.21793016
0,segformer,142,0.9868013865641102,0.042578125,0.19378986,0.15281911
0,segformer,149,0.9873678108247974,0.036328125,0.48401612,0.3015935
0,segformer,151,0.9851729382970801,0.041503906,0.33298701,0.19795971
